squat1_open cap,Rknee_sagital_angle,Max_knee_flexion_angle,squat2_open cap,Rknee_sagital_angle,Max_knee_flexion_angle,squat3_open cap,Rknee_sagital_angle,Max_knee_flexion_angle,squat1_tracker,Rknee_sagital_angle,Max_knee_flexion_angle,squat2_tracker,Rknee_sagital_angle,Max_knee_flexion_angle,squat3_tracker,Rknee_sagital_angle,Max_knee_flexion_angle
,141.52563246920874,89.79411798,,150.8551503,87.21411467,,144.09584530261412,82.56240283,,146.559,105.8054031,,148.704,102.7419746,,144.577,97.09434546
,139.7684820514067,,,148.903099,,,142.06717479331354,,,143.226,,,145.612,,,140.794,
,137.99606896081852,,,146.8382477,,,139.93582881791764,,,139.849,,,141.481,,,138.1,
,136.19683475215683,,,144.6988068,,,137.74065815523085,,,136.894,,,138.809,,,134.644,
,134.36174542509735,,,142.5351147,,,135.5360712231364,,,134.69,,,135.033,,,131.028,
,132.49037175306003,,,140.398339,,,133.37421900286824,,,132.07,,,132.419,,,128.358,
,130.59275224904857,,,138.3283182,,,131.2891428,,,129.447,,,129.588,,,125.77,
,128.68586116087675,,,136.3449444,,,129.29075364329935,,,127.266,,,127.303,,,122.353,
,126.78758715430723,,,134.4461027,,,127.37062720725879,,,124.826,,,124.581,,,120.631,
,124.91210820425277,,,132.6121279,,,125.51501623347158,,,123.066,,,122.442,,,116.473,
,123.06793230602992,,,130.8142951,,,123.71723541426135,,,120.509,,,120.176,,,114.927,
,121.25727900601882,,,129.024481,,,121.98275173890542,,,119.077,,,118.44,,,113.347,
,119.47589118014173,,,127.2240494,,,120.32463003993419,,,116.876,,,116.335,,,112.31,
,117.71459539072848,,,125.4104215,,,118.75218686213319,,,114.913,,,114.057,,,110.62,
,115.96457586065102,,,123.5992809,,,117.25947559207827,,,113.609,,,112.038,,,109.64,
,114.22599972518677,,,121.8205038,,,115.82071119885086,,,111.958,,,109.668,,,107.837,
,112.51640552097092,,,120.107993,,,114.39626072281933,,,110.818,,,107.959,,,106.251,
,110.87410886924769,,,118.4868824,,,112.94683151957616,,,109.176,,,106.702,,,104.966,
,109.353307,,,116.963814,,,111.44875690648564,,,107.302,,,104.821,,,103.461,
,108.01010449844355,,,115.5251075,,,109.90332171994552,,,106.933,,,104.452,,,101.375,
,106.88188110015687,,,114.143532,,,108.33753923651588,,,106.156,,,103.2,,,100.008,
,105.96656432241372,,,112.7898449,,,106.7985643770958,,,106.136,,,102.976,,,98.8598,
,105.21134239328666,,,111.4434215,,,105.34521025313788,,,105.805,,,102.742,,,97.431,
,104.51860266416202,,,110.0976087,,,104.03786710182825,,,106.463,,,103.066,,,97.2422,
,103.7701771633962,,,108.7584518,,,102.9259749965178,,,106.667,,,103.019,,,97.476,
,102.86305840707618,,,107.4387697,,,102.03343850539054,,,107.266,,,103.278,,,97.3392,
,101.74398579140683,,,106.1513691,,,101.34664114246175,,,108.331,,,103.873,,,97.0943,
,100.4283532683711,,,104.9041121,,,100.81239537752523,,,109.77,,,104.37,,,98.2364,
,98.99330483528786,,,103.6970322,,,100.34972504211393,,,111.176,,,104.569,,,98.4808,
,97.54696721014659,,,102.520844,,,99.87129551423496,,,112.7,,,105.947,,,99.4597,
,96.18910582129757,,,101.3573758,,,99.30450082159555,,,114.679,,,106.551,,,100.326,
,94.98218265309612,,,100.1829691,,,98.60352903528482,,,116.974,,,108.286,,,101.987,
,93.94327520989935,,,98.97434094,,,97.75017667601989,,,119.309,,,111.263,,,103.644,
,93.05504999507582,,,97.7149985,,,96.74720872156698,,,121.688,,,113.951,,,104.834,
,92.28651940648808,,,96.40095271,,,95.61019082631336,,,123.356,,,117.214,,,106.922,
,91.61311186812742,,,95.04531696,,,94.36232919,,,125.081,,,119.452,,,109.172,
,91.02809812344157,,,93.68015954,,,93.03394271758864,,,127.357,,,122.248,,,111.738,
,90.54189463,,,92.3529314,,,91.66505264702968,,,129.611,,,125.154,,,114.021,
,90.1715672,,,91.11724077,,,90.30715906057341,,,132.153,,,128.144,,,116.985,
,89.92781338512742,,,90.02184293,,,89.02017801402914,,,135.465,,,130.418,,,119.835,
,89.80732874689272,,,89.10253355,,,87.86330774973598,,,139.234,,,133.407,,,122.498,
,89.79411797831347,,,88.37841877,,,86.88233107026932,,,142.377,,,136.748,,,125.428,
,89.86761942872994,,,87.85093289,,,86.09818273921863,,,,,,140.171,,,128.506,
,90.01233607581298,,,87.50418255,,,85.50166987979887,,,,,,142.719,,,131.434,
,90.22389399317973,,,87.30756702,,,85.05694778678898,,,,,,146.013,,,134.528,
,90.50898654,,,87.22268206,,,84.71247574613196,,,,,,148.942,,,137.468,
,90.87998743897094,,,87.21411467,,,84.41505515560138,,,,,,151.856,,,140.471,
,91.34742650921919,,,87.25951604,,,84.12230539339899,,,,,,,,,143.568,
,91.91388450987552,,,87.35279973,,,83.8110185,,,,,,,,,146.417,
,92.57170275213866,,,87.49800581,,,83.48076131826193,,,,,,,,,,
,93.30563016433251,,,87.69765319,,,83.15254798419537,,,,,,,,,,
,94.10033912798502,,,87.94304226,,,82.86268596495776,,,,,,,,,,
,94.95056628437493,,,88.21215111,,,82.65330659897668,,,,,,,,,,
,95.86873185214694,,,88.47555431,,,82.56240282639689,,,,,,,,,,
,96.88402351332434,,,88.70689555,,,82.61593140522442,,,,,,,,,,
,98.03059852828648,,,88.89386788,,,82.82350076543915,,,,,,,,,,
,99.32938531362674,,,89.04628949,,,83.17835068597842,,,,,,,,,,
,100.7729586396917,,,89.19823027,,,83.66121736722388,,,,,,,,,,
,102.32188440461039,,,89.40281561,,,84.24633267,,,,,,,,,,
,103.91431407122823,,,89.7216707,,,84.90746287037601,,,,,,,,,,
,105.48332491201379,,,90.21293386,,,85.62269994,,,,,,,,,,
,106.97358486796867,,,90.92079007,,,86.37776331,,,,,,,,,,
,108.35174063257918,,,91.868118,,,87.16844537356329,,,,,,,,,,
,109.6104437875264,,,93.05405355,,,88.00290224304771,,,,,,,,,,
,110.76921726091336,,,94.45816639,,,88.90294380660791,,,,,,,,,,
,111.87390668092746,,,96.05031937,,,89.90173643367163,,,,,,,,,,
,112.99257315033256,,,97.80142952,,,91.03606438204852,,,,,,,,,,
,114.2041840824892,,,99.68894176,,,92.33429791094713,,,,,,,,,,
,115.57979179204875,,,101.6938147,,,93.80366792531774,,,,,,,,,,
,117.16182000865334,,,103.7912868,,,95.42114708409807,,,,,,,,,,
,118.95075311592319,,,105.941933,,,97.13209299935286,,,,,,,,,,
,120.90633238559573,,,108.0901313,,,98.85956476589908,,,,,,,,,,
,122.96300921303421,,,110.1736002,,,100.52356698217349,,,,,,,,,,
,125.05211849781949,,,112.141378,,,102.06441077314625,,,,,,,,,,
,127.12125960375477,,,113.9718814,,,103.46133921633617,,,,,,,,,,
,129.1447068461312,,,115.6816724,,,104.73892764376049,,,,,,,,,,
,131.12332898803973,,,117.3201749,,,105.9588060835562,,,,,,,,,,
,133.07598532541988,,,118.9523106,,,107.2001801591216,,,,,,,,,,
,135.02690827178975,,,120.6362139,,,108.5367285541414,,,,,,,,,,
,136.99504332230626,,,122.4054956,,,110.01821880421352,,,,,,,,,,
,138.9901085761957,,,124.2638665,,,111.66250873183657,,,,,,,,,,
,141.01562489407323,,,126.1933091,,,113.45883687511005,,,,,,,,,,
,143.07401047221416,,,128.1683696,,,115.37876903457047,,,,,,,,,,
,,,,130.1658304,,,117.38887481621677,,,,,,,,,,
,,,,132.1648771,,,119.45999041920544,,,,,,,,,,
,,,,134.1422346,,,121.5710828093465,,,,,,,,,,
,,,,136.0705458,,,123.70885460277685,,,,,,,,,,
,,,,137.9244018,,,125.86505361943853,,,,,,,,,,
,,,,139.6918385,,,128.03257563941452,,,,,,,,,,
,,,,141.38474,,,130.20113426289677,,,,,,,,,,
,,,,143.0410993,,,132.35398275741196,,,,,,,,,,
,,,,144.7153403,,,134.46751357524138,,,,,,,,,,
,,,,146.458817,,,136.51458347114135,,,,,,,,,,
,,,,148.29837,,,138.47054168880786,,,,,,,,,,
,,,,150.2226565,,,140.31961202109906,,,,,,,,,,
,,,,,,,142.05967058245562,,,,,,,,,,
,,,,,,,143.70469827479002,,,,,,,,,,
,,,,,,,145.2842126624901,,,,,,,,,,
,,,,,,,146.83803767410575,,,,,,,,,,
,,,,,,,148.40562534118217,,,,,,,,,,
,,,,,,,150.01276782929247,,,,,,,,,,