,Hip3,,,Knee3,,,Ankle3,
t,x,y,t,x,y,t,x,y
0,0.3505,1.3783,0,0.3751,0.8116,0,0.3942,0.1827
0.0333,0.3532,1.3783,0.0333,0.3751,0.8116,0.0333,0.3942,0.1827
0.0667,0.3519,1.3785,0.0667,0.3758,0.8116,0.0667,0.3942,0.1827
0.1,0.3519,1.3785,0.1,0.3758,0.8116,0.1,0.3942,0.1827
0.1333,0.3519,1.3785,0.1333,0.3744,0.8116,0.1333,0.3942,0.1827
0.1667,0.348,1.3804,0.1667,0.3744,0.8116,0.1667,0.3942,0.1827
0.2,0.3499,1.3804,0.2,0.3744,0.8116,0.2,0.3942,0.1827
0.2333,0.3499,1.3804,0.2333,0.3744,0.8116,0.2333,0.3942,0.1827
0.2667,0.3499,1.3785,0.2667,0.3744,0.8116,0.2667,0.3942,0.1827
0.3,0.3499,1.3785,0.3,0.3737,0.8129,0.3,0.3915,0.184
0.3333,0.3499,1.3785,0.3333,0.3737,0.8129,0.3333,0.3915,0.184
0.3667,0.3499,1.3785,0.3667,0.3737,0.8129,0.3667,0.3915,0.184
0.4,0.3528,1.3785,0.4,0.3737,0.8129,0.4,0.3915,0.184
0.4333,0.3528,1.3785,0.4333,0.3737,0.8123,0.4333,0.3915,0.184
0.4667,0.3528,1.3775,0.4667,0.3737,0.8123,0.4667,0.3929,0.184
0.5,0.3567,1.3775,0.5,0.3737,0.8123,0.5,0.3929,0.184
0.5333,0.3567,1.3775,0.5333,0.3737,0.8123,0.5333,0.3929,0.184
0.5667,0.3606,1.3785,0.5667,0.3737,0.8123,0.5667,0.3929,0.184
0.6,0.3644,1.3785,0.6,0.3737,0.8123,0.6,0.3929,0.184
0.6333,0.3654,1.3785,0.6333,0.3737,0.8123,0.6333,0.3929,0.184
0.6667,0.3673,1.3804,0.6667,0.3737,0.8123,0.6667,0.3929,0.184
0.7,0.3702,1.3824,0.7,0.3717,0.8123,0.7,0.3929,0.184
0.7333,0.3731,1.3824,0.7333,0.373,0.8129,0.7333,0.3929,0.184
0.7667,0.3751,1.3824,0.7667,0.373,0.8129,0.7667,0.3929,0.184
0.8,0.3799,1.3843,0.8,0.373,0.8129,0.8,0.3929,0.184
0.8333,0.3886,1.3853,0.8333,0.3724,0.8129,0.8333,0.3929,0.184
0.8667,0.3963,1.3872,0.8667,0.3724,0.8129,0.8667,0.3929,0.184
0.9,0.406,1.3882,0.9,0.3689,0.8123,0.9,0.3929,0.184
0.9333,0.4186,1.3911,0.9333,0.3621,0.8102,0.9333,0.3929,0.184
0.9667,0.435,1.3911,0.9667,0.3512,0.8109,0.9667,0.3929,0.184
1,0.4486,1.3911,1,0.345,0.8088,1,0.3929,0.184
1.0333,0.4655,1.3857,1.0333,0.3382,0.8054,1.0333,0.3929,0.184
1.0667,0.4819,1.3736,1.0667,0.3307,0.804,1.0667,0.3922,0.1813
1.1,0.4974,1.3641,1.1,0.3211,0.7972,1.1,0.3929,0.1806
1.1333,0.506,1.3499,1.1333,0.3067,0.7931,1.1333,0.3929,0.1806
1.1667,0.5159,1.3352,1.1667,0.2958,0.7863,1.1667,0.3901,0.1792
1.2,0.5262,1.3126,1.2,0.2814,0.7781,1.2,0.3881,0.1772
1.2333,0.5337,1.2908,1.2333,0.2684,0.7719,1.2333,0.3881,0.1772
1.2667,0.5398,1.2716,1.2667,0.2602,0.7644,1.2667,0.3881,0.1772
1.3,0.5474,1.2498,1.3,0.2493,0.7562,1.3,0.3881,0.1772
1.3333,0.5542,1.2272,1.3333,0.2377,0.7487,1.3333,0.3881,0.1772
1.3667,0.561,1.2067,1.3667,0.2309,0.7432,1.3667,0.3874,0.1765
1.4,0.5651,1.1882,1.4,0.2226,0.7398,1.4,0.3853,0.1765
1.4333,0.5692,1.1677,1.4333,0.211,0.7336,1.4333,0.3853,0.1765
1.4667,0.5733,1.1527,1.4667,0.2076,0.7289,1.4667,0.3853,0.1765
1.5,0.5836,1.1171,1.5,0.2008,0.722,1.5,0.3853,0.1765
1.5333,0.5891,1.1,1.5333,0.1994,0.72,1.5333,0.3826,0.1758
1.5667,0.5938,1.083,1.5667,0.1987,0.7159,1.5667,0.3826,0.1758
1.6,0.5959,1.0672,1.6,0.1994,0.7097,1.6,0.3833,0.1751
1.6333,0.6041,1.0467,1.6333,0.2028,0.7097,1.6333,0.3833,0.1751
1.6667,0.6061,1.0324,1.6667,0.2042,0.707,1.6667,0.3833,0.1751
1.7,0.6143,1.0146,1.7,0.2062,0.7063,1.7,0.384,0.1745
1.7333,0.6212,0.9948,1.7333,0.2103,0.7029,1.7333,0.386,0.1745
1.7667,0.6232,0.9825,1.7667,0.2103,0.7029,1.7667,0.386,0.1745
1.8,0.626,0.9688,1.8,0.2097,0.7015,1.8,0.386,0.1745
1.8333,0.6314,0.9517,1.8333,0.209,0.7008,1.8333,0.386,0.1745
1.8667,0.6342,0.938,1.8667,0.209,0.6981,1.8667,0.386,0.1745
1.9,0.6335,0.925,1.9,0.2097,0.6974,1.9,0.386,0.1745
1.9333,0.6369,0.9148,1.9333,0.2083,0.6967,1.9333,0.386,0.1745
1.9667,0.6369,0.9107,1.9667,0.2083,0.6933,1.9667,0.386,0.1745
2,0.6342,0.9121,2,0.2049,0.6913,2,0.3826,0.1751
2.0333,0.6342,0.9127,2.0333,0.2042,0.6926,2.0333,0.3826,0.1751
2.0667,0.6308,0.9168,2.0667,0.2008,0.6974,2.0667,0.3826,0.1751
2.1,0.6294,0.9237,2.1,0.2021,0.6954,2.1,0.3826,0.1751
2.1333,0.6273,0.9298,2.1333,0.1994,0.6967,2.1333,0.3826,0.1751
2.1667,0.6253,0.9387,2.1667,0.1994,0.6974,2.1667,0.3826,0.1751
2.2,0.6225,0.9462,2.2,0.2008,0.7015,2.2,0.3826,0.1751
2.2333,0.6184,0.9585,2.2333,0.2028,0.7036,2.2333,0.3826,0.1751
2.2667,0.6157,0.9749,2.2667,0.2028,0.7056,2.2667,0.3826,0.1751
2.3,0.6164,0.99,2.3,0.2028,0.709,2.3,0.3826,0.1751
2.3333,0.6116,1.005,2.3333,0.2056,0.7104,2.3333,0.3826,0.1751
2.3667,0.6089,1.0296,2.3667,0.2056,0.7118,2.3667,0.3833,0.1751
2.4,0.6061,1.0522,2.4,0.2097,0.7152,2.4,0.384,0.1751
2.4333,0.6027,1.0789,2.4333,0.2103,0.7186,2.4333,0.3847,0.1751
2.4667,0.5973,1.1041,2.4667,0.2151,0.7227,2.4667,0.3847,0.1751
2.5,0.5925,1.1329,2.5,0.2199,0.7295,2.5,0.3853,0.1779
2.5333,0.5897,1.1575,2.5333,0.2254,0.7343,2.5333,0.3853,0.1779
2.5667,0.5815,1.1787,2.5667,0.2315,0.7384,2.5667,0.3853,0.1779
2.6,0.5761,1.2019,2.6,0.2397,0.7446,2.6,0.3853,0.1779
2.6333,0.5692,1.2265,2.6333,0.2466,0.7528,2.6333,0.3853,0.1779
2.6667,0.5624,1.247,2.6667,0.2575,0.7589,2.6667,0.3888,0.1779
2.7,0.5535,1.273,2.7,0.265,0.7644,2.7,0.3922,0.1772
2.7333,0.5419,1.2908,2.7333,0.2725,0.7706,2.7333,0.3922,0.1772
2.7667,0.5344,1.3079,2.7667,0.2828,0.7767,2.7667,0.3922,0.1772
2.8,0.5248,1.3236,2.8,0.2917,0.7842,2.8,0.3929,0.1772
2.8333,0.5145,1.3407,2.8333,0.2985,0.7876,2.8333,0.3942,0.1786
2.8667,0.5043,1.353,2.8667,0.3067,0.7924,2.8667,0.3942,0.1786
2.9,0.4961,1.366,2.9,0.3142,0.7993,2.9,0.3942,0.1786
2.9333,0.4886,1.3762,2.9333,0.3211,0.8013,2.9333,0.3942,0.1786
2.9667,0.4804,1.3851,2.9667,0.3313,0.8061,2.9667,0.3942,0.1786
3,0.4701,1.394,3,0.3382,0.8081,3,0.3949,0.1806
3.0333,0.4605,1.3981,3.0333,0.3477,0.8095,3.0333,0.3949,0.1806
3.0667,0.4551,1.4008,3.0667,0.3546,0.8116,3.0667,0.3949,0.1806
3.1,0.4462,1.4022,3.1,0.3594,0.8136,3.1,0.3949,0.1806
3.1333,0.438,1.4015,3.1333,0.3669,0.8136,3.1333,0.3949,0.1806
3.1667,0.4332,1.396,3.1667,0.3689,0.8129,3.1667,0.3949,0.1806
3.2,0.4264,1.3981,3.2,0.3751,0.8136,3.2,0.3949,0.1806
3.2333,0.4223,1.3974,3.2333,0.3799,0.815,3.2333,0.3949,0.1806
3.2667,0.4188,1.3974,3.2667,0.3901,0.8143,3.2667,0.3949,0.1806
3.3,0.4161,1.3974,3.3,0.3983,0.815,3.3,0.397,0.1813
3.3333,0.41,1.3954,3.3333,0.4079,0.8123,3.3333,0.397,0.1813
3.3667,0.4079,1.3913,3.3667,0.4134,0.8129,3.3667,0.397,0.1813
3.4,0.4058,1.3906,3.4,0.4134,0.8116,3.4,0.399,0.1799
3.4333,0.4045,1.3899,3.4333,0.4093,0.8109,3.4333,0.399,0.1799
3.4667,0.4045,1.3899,3.4667,0.4079,0.815,3.4667,0.399,0.1799
3.5,0.4045,1.3899,3.5,0.4052,0.815,3.5,0.399,0.1799
3.5333,0.4004,1.3899,3.5333,0.4038,0.8129,3.5333,0.399,0.182
3.5667,0.3956,1.3899,3.5667,0.4017,0.8116,3.5667,0.399,0.182
3.6,0.3908,1.3885,3.6,0.4017,0.8116,3.6,0.397,0.1827
3.6333,0.3881,1.3865,3.6333,0.399,0.8116,3.6333,0.397,0.1827
3.6667,0.386,1.3865,3.6667,0.399,0.8116,3.6667,0.397,0.1827
3.7,0.3847,1.3878,3.7,0.3963,0.8129,3.7,0.397,0.1827
3.7333,0.3812,1.3892,3.7333,0.3963,0.8129,3.7333,0.397,0.1827
3.7667,0.3826,1.3885,3.7667,0.3963,0.8129,3.7667,0.397,0.1827
3.8,0.3812,1.3906,3.8,0.3963,0.8129,3.8,0.397,0.1827
3.8333,0.3792,1.3906,3.8333,0.3963,0.8129,3.8333,0.397,0.1827
3.8667,0.3778,1.3885,3.8667,0.3956,0.8129,3.8667,0.397,0.1827
3.9,0.3765,1.3906,3.9,0.3956,0.8129,3.9,0.397,0.1827
3.9333,0.3751,1.3892,3.9333,0.3935,0.8136,3.9333,-2.3543,-1.2686